disease,diet
acne,"['Acne Diet', 'Low-Glycemic Diet', 'Hydration', 'Fruits and vegetables', 'Probiotics']"
actinic_keratosis,"['Antioxidant-rich foods', 'Green tea', 'Vitamin C-rich foods', 'Leafy greens', 'Omega-3-rich foods']"
benign_tumors,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Healthy fats']"
bullous,"['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains', 'Hydration']"
candidiasis,"['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']"
drug_eruption,"['Antihistamine-supportive foods', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']"
eczema,"['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Probiotics', 'Vitamin D-rich foods', 'Hydration']"
infestations_bites,"['Immune-supportive foods', 'Vitamin C-rich foods', 'Hydration', 'Fruits and vegetables', 'Protein-rich foods']"
lichen,"['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains', 'Hydration']"
lupus,"['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Vitamin D-rich foods', 'Fruits and vegetables', 'Whole grains']"
moles,"['Balanced Diet', 'Antioxidant-rich foods', 'Vitamin C-rich foods', 'Leafy greens', 'Hydration']"
psoriasis,"['Psoriasis Diet', 'Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains']"
rosacea,"['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Low-spice foods', 'Hydration', 'Vitamin C-rich foods']"
seborrh_keratoses,"['Balanced Diet', 'Antioxidant-rich foods', 'Vitamin C-rich foods', 'Leafy greens', 'Whole grains']"
skin_cancer,"['Cancer-preventive Diet', 'Antioxidant-rich foods', 'Green tea', 'Leafy greens', 'Omega-3-rich foods']"
sun_sunlight_damage,"['Antioxidant-rich foods', 'Vitamin C-rich foods', 'Green tea', 'Leafy greens', 'Hydration']"
tinea,"['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']"
unknown_normal,"['Balanced Diet', 'Fruits and vegetables', 'Whole grains', 'Lean proteins', 'Hydration']"
vascular_tumors,"['Balanced Diet', 'Antioxidant-rich foods', 'Vitamin C-rich foods', 'Leafy greens', 'Omega-3-rich foods']"
vasculitis,"['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Vitamin D-rich foods', 'Fruits and vegetables', 'Whole grains']"
vitiligo,"['Immune-supportive Diet', 'Antioxidant-rich foods', 'Vitamin C-rich foods', 'Leafy greens', 'Omega-3-rich foods']"
warts,"['Immune-supportive Diet', 'Vitamin C-rich foods', 'Probiotics', 'Garlic', 'Hydration']"
